GO_term,name,namespace,def
GO:0005575,cellular_component,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine. There are three types of cellular components described in the gene ontology: (1) the cellular anatomical entity where a gene product carries out a molecular function (e.g., plasma membrane, cytoskeleton) or membrane-enclosed compartments (e.g., mitochondrion); (2) virion components, where viral proteins act, and (3) the stable macromolecular complexes of which gene product are parts (e.g., the clathrin complex)."
GO:0005576,extracellular region,cellular_component,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.
GO:0005615,extracellular space,cellular_component,"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
GO:0005622,intracellular anatomical structure,cellular_component,A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm.
GO:0005634,nucleus,cellular_component,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
GO:0005654,nucleoplasm,cellular_component,That part of the nuclear content other than the chromosomes or the nucleolus.
GO:0005694,chromosome,cellular_component,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.
GO:0005730,nucleolus,cellular_component,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
GO:0005737,cytoplasm,cellular_component,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
GO:0005739,mitochondrion,cellular_component,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
GO:0005740,mitochondrial envelope,cellular_component,The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space.
GO:0005768,endosome,cellular_component,A vacuole to which materials ingested by endocytosis are delivered.
GO:0005773,vacuole,cellular_component,"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
GO:0005783,endoplasmic reticulum,cellular_component,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
GO:0005789,endoplasmic reticulum membrane,cellular_component,The lipid bilayer surrounding the endoplasmic reticulum.
GO:0005794,Golgi apparatus,cellular_component,"A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
GO:0005815,microtubule organizing center,cellular_component,"An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides."
GO:0005829,cytosol,cellular_component,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
GO:0005856,cytoskeleton,cellular_component,"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
GO:0005886,plasma membrane,cellular_component,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.
GO:0005911,cell-cell junction,cellular_component,"A cell junction that forms a connection between two or more cells of an organism; excludes direct cytoplasmic intercellular bridges, such as ring canals in insects."
GO:0005929,cilium,cellular_component,"A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body."
GO:0005975,carbohydrate metabolic process,biological_process,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
GO:0006082,organic acid metabolic process,biological_process,"The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."
GO:0006139,nucleobase-containing compound metabolic process,biological_process,"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0006259,DNA metabolic process,biological_process,"Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."
GO:0006355,regulation of DNA-templated transcription,biological_process,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
GO:0006357,regulation of transcription by RNA polymerase II,biological_process,"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
GO:0006396,RNA processing,biological_process,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.
GO:0006468,protein phosphorylation,biological_process,The process of introducing a phosphate group on to a protein.
GO:0006508,proteolysis,biological_process,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.
GO:0006629,lipid metabolic process,biological_process,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
GO:0006725,obsolete cellular aromatic compound metabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."
GO:0006793,phosphorus metabolic process,biological_process,The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus.
GO:0006796,phosphate-containing compound metabolic process,biological_process,"The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."
GO:0006807,obsolete nitrogen compound metabolic process,biological_process,OBSOLETE. The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.
GO:0006810,transport,biological_process,"The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."
GO:0006811,monoatomic ion transport,biological_process,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
GO:0006812,monoatomic cation transport,biological_process,"The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."
GO:0006935,chemotaxis,biological_process,"The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."
GO:0006950,response to stress,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0006952,defense response,biological_process,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
GO:0006955,immune response,biological_process,Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.
GO:0006974,DNA damage response,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
GO:0006979,response to oxidative stress,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
GO:0006996,organelle organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0007010,cytoskeleton organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."
GO:0007017,microtubule-based process,biological_process,"Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins."
GO:0007049,cell cycle,biological_process,"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
GO:0007154,cell communication,biological_process,"Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
GO:0007165,signal transduction,biological_process,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
GO:0007166,cell surface receptor signaling pathway,biological_process,"The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."
GO:0007267,cell-cell signaling,biological_process,"Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."
GO:0007275,multicellular organism development,biological_process,The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).
GO:0007276,gamete generation,biological_process,The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell.
GO:0007281,germ cell development,biological_process,"The process whose specific outcome is the progression of an immature germ cell over time, from its formation to the mature structure (gamete). A germ cell is any reproductive cell in a multicellular organism."
GO:0007389,pattern specification process,biological_process,Any developmental process that results in the creation of defined areas or spaces within an organism to which cells respond and eventually are instructed to differentiate.
GO:0007399,nervous system development,biological_process,"The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."
GO:0007409,axonogenesis,biological_process,"De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells."
GO:0007417,central nervous system development,biological_process,"The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."
GO:0007420,brain development,biological_process,"The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."
GO:0007423,sensory organ development,biological_process,"The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure."
GO:0007507,heart development,biological_process,"The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."
GO:0007610,behavior,biological_process,"The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."
GO:0008092,cytoskeletal protein binding,molecular_function,"Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."
GO:0008104,protein localization,biological_process,"Any process in which a protein is transported to, or maintained in, a specific location."
GO:0008150,biological_process,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
GO:0008152,metabolic process,biological_process,"A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."
GO:0008219,cell death,biological_process,"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."
GO:0008233,peptidase activity,molecular_function,Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.
GO:0008284,positive regulation of cell population proliferation,biological_process,Any process that activates or increases the rate or extent of cell proliferation.
GO:0008324,monoatomic cation transmembrane transporter activity,molecular_function,Enables the transfer of cation from one side of a membrane to the other.
GO:0008610,lipid biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
GO:0009056,catabolic process,biological_process,A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
GO:0009057,macromolecule catabolic process,biological_process,"The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0009058,biosynthetic process,biological_process,A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
GO:0009059,macromolecule biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0009266,response to temperature stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."
GO:0009314,response to radiation,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."
GO:0009416,response to light stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
GO:0009507,chloroplast,cellular_component,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
GO:0009536,plastid,cellular_component,"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid."
GO:0009605,response to external stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
GO:0009607,response to biotic stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."
GO:0009617,response to bacterium,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."
GO:0009628,response to abiotic stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."
GO:0009653,anatomical structure morphogenesis,biological_process,The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form.
GO:0009719,response to endogenous stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."
GO:0009725,response to hormone,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."
GO:0009790,embryo development,biological_process,"The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."
GO:0009791,post-embryonic development,biological_process,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."
GO:0009792,embryo development ending in birth or egg hatching,biological_process,"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."
GO:0009887,animal organ morphogenesis,biological_process,"Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."
GO:0009888,tissue development,biological_process,"The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."
GO:0009889,regulation of biosynthetic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
GO:0009890,negative regulation of biosynthetic process,biological_process,"Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."
GO:0009891,positive regulation of biosynthetic process,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
GO:0009892,negative regulation of metabolic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0009893,positive regulation of metabolic process,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0009894,regulation of catabolic process,biological_process,"Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."
GO:0009966,regulation of signal transduction,biological_process,"Any process that modulates the frequency, rate or extent of signal transduction."
GO:0009967,positive regulation of signal transduction,biological_process,"Any process that activates or increases the frequency, rate or extent of signal transduction."
GO:0009968,negative regulation of signal transduction,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."
GO:0009986,cell surface,cellular_component,The external part of the cell wall and/or plasma membrane.
GO:0009987,cellular process,biological_process,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0009991,obsolete response to extracellular stimulus,biological_process,"OBSOLETE. Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."
GO:0010033,obsolete response to organic substance,biological_process,"OBSOLETE. Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."
GO:0010035,obsolete response to inorganic substance,biological_process,"OBSOLETE. Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inorganic substance stimulus."
GO:0010243,obsolete response to organonitrogen compound,biological_process,"OBSOLETE. Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."
GO:0010467,gene expression,biological_process,"The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, as well as translation and maturation for protein-coding genes."
GO:0010468,regulation of gene expression,biological_process,"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO:0010556,regulation of macromolecule biosynthetic process,biological_process,"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,"Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0010558,negative regulation of macromolecule biosynthetic process,biological_process,"Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0010564,regulation of cell cycle process,biological_process,Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events.
GO:0010604,positive regulation of macromolecule metabolic process,biological_process,"Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0010605,negative regulation of macromolecule metabolic process,biological_process,"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
